
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-9.01028e-27,-2.97029,-1.72783e-28,-6.27533e-05,78.7245,70.016,-5.83366e-05,93.9129,89.9106,89.9498,0.0763122,78.7245,70.016,-5.83366e-05,93.9129,89.9106,89.9498,0.0763122,2.2362e-27,-1.01861e-27,81.7897,92.3752,21.0277,1.90883e-30,2.43427e-27,-4.40188e-28,81.7897,92.3752,21.0277,2.01143e-30,
-1.03521e-26,-4.48259,-1.26449e-28,-0.000178997,164.553,147.822,-0.000202539,198.921,189.815,189.891,-0.00994834,164.553,147.822,-0.000202539,198.921,189.815,189.891,-0.00994834,-8.37588e-28,2.27475e-27,171.199,195.663,15.4861,-1.90311e-31,-8.80131e-28,1.76768e-27,171.199,195.663,15.4861,-2.92464e-31,
-3.70139e-27,-4.53872,-8.50455e-29,-0.000203573,250.099,225.672,-0.000678989,304.033,200.759,289.835,0.00118967,250.099,225.672,-0.000678989,304.033,200.759,289.835,0.00118967,4.5286e-28,-2.63117e-27,260.314,299.067,14.2619,-9.01347e-32,4.60214e-28,-2.2374e-27,260.314,299.067,14.2619,-1.34898e-31,
-3.01465e-27,-4.25005,-7.95023e-29,-0.000200753,335.816,76.4509,-0.0006473,409.032,-33.2345,-15.7443,0.0160772,335.816,76.4509,-0.0006473,409.032,-33.2345,-15.7443,0.0160772,-2.68385e-27,5.95455e-27,349.423,402.45,11.6795,-6.49524e-31,-2.52292e-27,5.19561e-27,349.423,402.45,11.6795,-5.28136e-31,
1.66392e-28,-0.0310233,-8.17064e-30,-0.000255682,-43.8532,-38.6877,-7.00369e-05,509.598,-39.5722,-47.6141,0.0288696,-43.8532,-38.6877,-7.00369e-05,509.598,-39.5722,-47.6141,0.0288696,3.76508e-27,-1.09483e-26,68.5719,503.427,8.44558,-9.43923e-31,3.70656e-27,-7.11289e-27,68.5719,503.427,8.44558,-7.87294e-31,
-7.06735e-29,-4.53711,-1.37987e-30,-3.81961e-05,-117.247,-49.227,-0.000595682,603.404,-35.8484,-44.0859,0.0366024,-117.247,-49.227,-0.000595682,603.404,-35.8484,-44.0859,0.0366024,-7.15728e-28,-6.99623e-27,-103.082,594.818,5.09058,4.36883e-31,-6.71212e-28,-4.82022e-27,-103.082,594.818,5.09058,5.98949e-31,
-1.09045e-26,-5.93599,-5.11e-29,-0.000193965,-117.01,-47.6623,-0.00123587,46.345,-33.1352,-41.3353,0.024508,-117.01,-47.6623,-0.00123587,46.345,-33.1352,-41.3353,0.024508,5.00485e-27,-5.76409e-27,-111.931,-43.6459,2.11824,-1.34358e-30,5.1423e-27,-5.53343e-27,-111.931,-43.6459,2.11824,-4.80806e-31,
-1.72227e-29,-1.18372,-6.5e-33,-8.11764e-05,-76.8083,-44.6596,-0.00198412,-188.018,-31.1361,-39.4623,0.000506263,-76.8083,-44.6596,-0.00198412,-188.018,-31.1361,-39.4623,0.000506263,5.07696e-27,-2.09339e-28,-79.6385,-182.366,-0.180313,-8.81703e-31,5.15741e-27,3.58339e-28,-79.6385,-182.366,-0.180313,-2.48228e-31,
-1.66366e-28,-0.280237,-1.48332e-30,-1.94893e-05,-58.2236,-41.2417,-0.00273973,-188.474,-28.9118,-37.0816,-0.0157783,-58.2236,-41.2417,-0.00273973,-188.474,-28.9118,-37.0816,-0.0157783,1.07184e-28,-3.47013e-28,-70.1036,-178.274,-1.87456,-7.0544e-32,5.37655e-28,-1.59255e-27,-70.1036,-178.274,-1.87456,2.29443e-31,
